chunk_id,page_start,part_title,chapter_title,section_title,text
54caabbb,1,,,Humanitarian Law Violations and Civilian Victims,in the Conflict over South Ossetia
dd2b7418,2,,,Human Rights Watch,"350 Fifth Avenue, 34th floor"
9c807e1a,2,,,"Tel: +1 212 290 4700, Fax: +1 212 736 1300",hrwnyc@hrw.org
92f110eb,2,,,Poststraße 4-5,"10178 Berlin, Germany"
54f79f01,2,,,"Tel: +49 30 2593 06-10, Fax: +49 30 2593 0629",berlin@hrw.org
cc718ef4,2,,,"Avenue des Gaulois, 7","1040 Brussels, Belgium"
d1c18b6f,2,,,"Tel: + 32 (2) 732 2009, Fax: + 32 (2) 732 0471","hrwbe@hrw.org
64-66 Rue de Lausanne
1202 Geneva, Switzerland"
f52f21bc,2,,,"Tel: +41 22 738 0481, Fax: +41 22 738 1791","hrwgva@hrw.org
2-12 Pentonville Road, 2nd Floor"
5b06a661,2,,,"Tel: +44 20 7713 1995, Fax: +44 20 7713 1800","hrwuk@hrw.org
27 Rue de Lisbonne
75008 Paris, France
Tel: +33 (1)43 59 55 35, Fax: +33 (1) 43 59 55 22
paris@hrw.org
1630 Connecticut Avenue, N.W., Suite 500"
e8b65cc2,2,,,"Tel: +1 202 612 4321, Fax: +1 202 612 4333",hrwdc@hrw.org
66c7f8a3,3,,,Up In Flames,Humanitarian Law Violations and Civilian Victims in the
cf0c6d65,3,,,Conflict over South Ossetia,"Map of South Ossetia ......................................................................................................... 1
Executive Summary ............................................................................................................ 2
Overview ........................................................................................................................ 2
Brief Chronology of the Armed Conflict ............................................................................ 5
Violations by Georgian Forces ......................................................................................... 6
Violations by Russian Forces ........................................................................................... 7
Violations by South Ossetian Forces ............................................................................... 9
Use of Cluster Munitions ............................................................................................... 10
International Responses to the Conflict ......................................................................... 11
Methodology .................................................................................................................... 13"
bbeadcca,3,Part 1: Background,1.1 Background on South Ossetia ..................................................................................... 16,1991-92 Conflict in South Ossetia .................................................................................. 16,"2003-06: New Leadership in Georgia, New Agenda for Recovering South Ossetia .......... 18"
9f73880d,3,Part 1: Background,1.1 Background on South Ossetia ..................................................................................... 16,2006-08: Tensions Rise between Russia and Georgia ................................................... 20,"The Lead-up to the August 2008 War ............................................................................. 21
The Fighting and Immediate Political Aftermath ............................................................ 22"
0631e7f6,3,Part 1: Background,1.2 International Legal Framework .................................................................................... 27,,"International Humanitarian Law Governing Hostilities ................................................... 27
Basic Principles of International Humanitarian Law ...................................................... 29
Individual Criminal Responsibility ................................................................................. 31
Position of Peacekeepers under International Humanitarian Law .................................. 32
Law on Occupation and Effective Control ....................................................................... 33
Right to Return ............................................................................................................... 35"
241420b7,4,Part 2: Violations by Georgian Forces,2.2 Indiscriminate Shelling of Tskhinvali and Outlying Villages .........................................41,,"Tskhinvali ...................................................................................................................... 41
Civilians Killed in Shelling ............................................................................................ 46"
58e099c5,4,Part 2: Violations by Georgian Forces,2.3 Attacks by Georgian Forces on Civilians Fleeing the Conflict Zone ............................... 53,,Attacks on vehicles and international humanitarian law ................................................ 55
70782c4b,4,Part 2: Violations by Georgian Forces,2.4 Georgian Forces’ Ground Offensive ............................................................................. 57,,The Conduct of Georgian Troops during the Ground Offensive ....................................... 61
22bfd34a,4,Part 2: Violations by Georgian Forces,2.5 Georgia’s Use of Cluster Munitions ............................................................................. 64,,"How Georgian Clusters Landed in Gori District .............................................................. 66
Civilian Casualties from M85s ....................................................................................... 66"
3f1d550e,4,Part 2: Violations by Georgian Forces,2.6 Russian Allegations against Georgia of Genocide and Other War Crimes ..................... 70,,"Political Statements and Russian Criminal Investigation ............................................... 70
Russia’s Allegations Not Supported by Available Evidence ............................................ 71"
4c6ba5ff,4,Part 2: Violations by Georgian Forces,2.7 The Issue of Civilian Casualties in South Ossetia ......................................................... 74,,"Early Figures from Russian and South Ossetian Officials not Borne out .......................... 74
Erroneous Georgian Figures for South Ossetian Civilian Casualties ............................... 76
Human Rights Watch and Casualty Figures ................................................................... 76"
fcbb659b,4,Part 2: Violations by Georgian Forces,2.8 Georgian Detentions and Ill-Treatment of Ossetians ................................................... 79,,"Ill-Treatment at the Time of Arrest .................................................................................. 81
Conditions of Detention ................................................................................................ 84
Possible Enforced Disappearance ................................................................................. 85"
fa7a1386,4,Part 3: Violations by Russian Forces,"3.2 Aerial Bombardments, Shelling, and Artillery Attacks ................................................. 89",,"Attacks on Ethnic Georgian Villages in South Ossetia ................................................... 90
Attacks in Undisputed Georgian Territory ...................................................................... 93"
5eac664e,5,Part 3: Violations by Russian Forces,3.3 Russia’s Use of Cluster Munitions ............................................................................. 103,,Evidence of Russian Cluster Use .................................................................................. 104
79ae9a7e,5,Part 3: Violations by Russian Forces,3.7 Russia’s Responsibility as Occupying Power ............................................................. 123,,"In South Ossetia .......................................................................................................... 124
In Gori District ............................................................................................................. 126"
3107db34,5,Part 4. Violations by South Ossetian Forces,4.2 Attacks on Georgian Civilians and Their Villages in South Ossetia ............................ 130,,"Looting and Burning of Villages ................................................................................... 130
Alleged Extrajudicial Killings in the Course of Village Burnings .................................... 142
Some Ossetian Villagers Not Immune from Looters ...................................................... 143
Situation in Akhalgori District ...................................................................................... 147
Position of de facto South Ossetian Officials toward Looting and House Burning ......... 151
The Displaced Georgian Population’s Right to Return .................................................. 152"
6e780043,5,Part 4. Violations by South Ossetian Forces,4.3 South Ossetian Abuses in Undisputed Georgian Territory .......................................... 154,,"Summary Executions ................................................................................................... 154
Rape ............................................................................................................................ 159
Abductions .................................................................................................................. 162
Pillage and Destruction of Civilian Property ................................................................. 163
4.4. Execution, Illegal Detentions, Ill-Treatment, and Degrading Conditions of Detention by
Ossetian Forces, at times with Russian Forces ................................................................. 170
Legal Status of and Protections for Individuals Detained by Ossetian and Russian Forces
.................................................................................................................................... 171
Ill-treatment at the Time of Arrest and during Transfer to Custody, and an Execution ... 173"
62288f4f,6,Part 4. Violations by South Ossetian Forces,"4.5 Execution, Torture, and Other Degrading Treatment of Georgian Prisoners of War by",,"Ossetian Forces, at times with Russian Forces ................................................................ 185
Beatings and Humiliation during Initial Days of Detention ........................................... 186
Execution of Three Georgian POWs .............................................................................. 188
Torture and Ill-Treatment by Ossetian Police ................................................................ 190"
c14bbac7,6,Part 5: International Scrutiny of Rights Violations in the Conflict,,,"International Inquiry Commissioned by the European Union ........................................ 195
Complaints to International Courts .............................................................................. 196
Recommendations .......................................................................................................... 199
To the Georgian Government ....................................................................................... 199
To the Russian Government ........................................................................................ 200
To the de facto South Ossetian Authorities .................................................................. 201
To the International Inquiry Commissioned by the European Union ............................ 202
To the Council of Europe ............................................................................................. 202
To the European Union ............................................................................................... 203
To the United States Government ............................................................................... 204
Acknowledgements ........................................................................................................ 205
Appendix........................................................................................................................ 206"
ebef7607,7,Part 5: International Scrutiny of Rights Violations in the Conflict,,Map of South Ossetia,1 Human Rights Watch January 2009
a63bda96,8,Part 5: International Scrutiny of Rights Violations in the Conflict,,Overview,"The armed conflict over South Ossetia lasted one week in August 2008 and will have
consequences for lifetimes and beyond. The conflict and its aftermath have seen lives,
livelihoods, homes, and communities devastated in South Ossetia and bordering districts of
Georgia. A significant casualty of the conflict was all sides’ respect for international
humanitarian law.
South Ossetia is a breakaway region of Georgia that shares a border and has very close ties
with Russia. The armed conflict, in the making since spring 2008, started August 7 with
Georgia’s military assault in South Ossetia and Russia’s military response the following day,
and lasted until a ceasefire on August 15, with Georgian forces in retreat and Russian forces
occupying South Ossetia and, temporarily, undisputed parts of Georgia.1 The week of open
conflict, and the many subsequent weeks of rampant violence and insecurity in the affected
districts, took a terrible toll on civilians, killing hundreds, displacing tens of thousands, and
causing extensive damage to civilian property. Today, there is an acute need for
accountability for all perpetrators of violations of human rights and humanitarian law, and
for security conditions to allow all displaced persons to return in safety and dignity to their
homes.
Human Rights Watch carried out a series of research missions in Russia and Georgia,
including in South Ossetia, focusing on violations by all parties to the conflict. We
interviewed more than 460 victims, witnesses, and others, and looked at reporting (and
misreporting) of the conflict in Russia and in Georgia. The international legal framework
within which Human Rights Watch examined the conflict includes international humanitarian
law—chiefly the Geneva Conventions—relating to the conduct of hostilities, humane
treatment, and occupation; and international human rights law, including international law
concerning displaced persons and the right to return.
1
The term ‘undisputed’ is used to refer to any part of Georgia, except South Ossetia and Abkazia, both areas which are
subject to dispute over their sovereignty and have made bids for independence."
7f8c760e,9,Part 5: International Scrutiny of Rights Violations in the Conflict,,Human Rights Watch found:,"• In a number of instances Georgian forces used indiscriminate and disproportionate
force in artillery assaults on South Ossetia, and in some cases used disproportionate
force in their ground assault. The majority of these instances derived from Georgia’s
use of multiple rocket launching systems, which cannot distinguish between civilian
and military objects, in areas populated by civilians. Many civilians were killed or
wounded.
• In a number of instances in South Ossetia and in undisputed Georgian territory
Russian forces violated international humanitarian law by using aerial, artillery, and
tank fire strikes that were indiscriminate, killing and wounding many civilians.
• Cluster munitions were used by Russian and Georgian forces, causing civilian deaths
and putting more civilians at risk by leaving behind unstable “minefields” of
unexploded bomblets. Their use and impact on civilians in the conflict demonstrates
why in December 2008, 94 governments signed up to a comprehensive treaty to ban
cluster munitions, which had been negotiated just months before the conflict
commenced.
• As an occupying power in Georgia, Russia failed overwhelmingly in its duty under
international humanitarian law to ensure, as far as possible, public order and safety
in areas under its effective control, instead allowing South Ossetian forces, including
volunteer militias, to engage in wanton and widescale pillage and burning of
Georgian homes and to kill, beat, rape, and threaten civilians.
• After Georgian forces withdrew from South Ossetia on August 10, South Ossetian
forces over a period of weeks deliberately and systematically destroyed ethnic
Georgian villages in South Ossetia that had been administered by the Georgian
government. They looted, beat, threatened, and unlawfully detained numerous
ethnic Georgian civilians, and killed several, on the basis of the ethnicity and
imputed political affiliations of the residents of these villages, with the express
purpose of forcing those who remained to leave and ensuring that no former
residents would return. From this, Human Rights Watch has concluded that South
Ossetian forces attempted to ethnically cleanse these villages. Approximately
22,000 villagers, the majority of whom had fled South Ossetia before the conflict
started, remain displaced.
• In committing this violence, South Ossetian forces egregiously violated multiple
obligations under humanitarian law, for which there must be individual criminal
accountability and prosecution for war crimes where appropriate. To the extent that a
number of these prohibited acts were committed as part of a widespread or
3 Human Rights Watch January 2009
systematic attack directed against the civilian population, they may be prosecuted
as crimes against humanity.
• Residents of Akhalgori district—an area in the east of South Ossetia populated
mostly by ethnic Georgians and currently occupied by Russian forces—face threats
and harassment by militias and anxiety about a possible closure of the district’s
administrative border with the rest of Georgia. Both factors have caused great
numbers of people to leave their homes for undisputed Georgian territory.
• During the time when Russian forces occupied Georgian territory south of the South
Ossetian administrative border, Ossetian militias looted, destroyed, and burned
homes on a wide scale, deliberately killed at least nine civilians, and raped at least
two. Russian forces were at times involved in the looting and destruction, either as
passive bystanders, active participants, or by providing militias with transport into
villages.
• Georgian forces beat and ill-treated at least five of the 32 Ossetians detained in"
e6d46cdf,10,Part 5: International Scrutiny of Rights Violations in the Conflict,,August in the context of the armed conflict.,"• After the withdrawal of Georgian forces from South Ossetia, South Ossetian forces, at
times together with Russian forces, arbitrarily detained at least 159 ethnic Georgians.
South Ossetian forces killed at least one detainee and subjected nearly all of them to
inhuman and degrading treatment and conditions of detention. They also tortured at
least four Georgian prisoners of war and executed at least three. All of these acts are
war crimes, for which individual criminal accountability must be established.
This report measures each party’s compliance with obligations under international law,
rather than measure it against the conduct of the other party. Exposing violations committed
by one party does not excuse or mitigate violations committed by another party. Which party
started the conflict has no bearing on parties’ obligations to adhere to international
humanitarian and human rights law and to hold violators accountable. Those seeking
answers to questions about who committed worse, or more violations, or who bears
responsibility for starting the conflict, will not find them in this report.
* * *
Human Rights Watch urges the Georgian and Russian governments to investigate and hold
accountable those from their respective forces responsible for international humanitarian
law violations, including war crimes. As it exercises in effective control over South Ossetia,
Russia should investigate and hold accountable South Ossetian forces responsible for war
crimes and other violations of international humanitarian and human rights law. The Russian
and Georgian governments should provide compensation for civilian damage and"
a0913030,11,Part 5: International Scrutiny of Rights Violations in the Conflict,,Up in Flames 4,"destruction caused by violations of international humanitarian law for which they are
respectively responsible.
The permanent forced displacement of thousands of people cannot be countenanced. As it
exercises effective control over South Ossetia, Russia has an obligation to provide security
to all persons living there, regardless of ethnicity; this is especially urgent in Akhalgori
district. Ethnic Georgians displaced from South Ossetia should be allowed to voluntarily
return. Russia should publicly promote and implement the right of all persons displaced by
the conflict, without regard to their ethnic background or imputed political affiliations, to
return and live in their homes in South Ossetia in safety and dignity. Russia should prevail
on South Ossetian authorities to publicly acknowledge this and to facilitate returns."
4fb5ee78,11,Part 5: International Scrutiny of Rights Violations in the Conflict,,Brief Chronology of the Armed Conflict,"After months of escalating tensions between Russia and Georgia and following skirmishes
between Georgian and South Ossetian forces, on August 7, 2008, Georgian forces launched
an artillery assault on Tskhinvali, South Ossetia’s capital, and outlying villages. Assaults by
Georgian ground and air forces followed. Russia’s military response began the next day, with
the declared purpose of protecting Russian peacekeepers stationed in South Ossetia and
residents who had become Russian citizens in recent years. Beginning on August 8, Russian
ground forces from the 58th Army crossed into South Ossetia and Russian artillery and
aircraft hit targets in South Ossetia and undisputed Georgian territory. South Ossetian forces
consisting of several elements—South Ossetian Ministry of Defense and Emergencies, South
Ossetian Ministry of Internal Affairs, South Ossetian Committee for State Security, volunteers,
and Ossetian peacekeeping forces—also participated in the fighting.
Georgian commanders ordered their troops to withdraw from South Ossetia on August 10,
and two days later Russian forces moved into and occupied undisputed Georgian territory
south of the administrative border with South Ossetia, including the city of Gori. In a
separate operation from the west, moving through the breakaway region of Abkhazia (also
supported by Russia), Russian forces also occupied the strategically important cities of Poti,"
09a026ba,11,Part 5: International Scrutiny of Rights Violations in the Conflict,,"Zugdidi, and Senaki in western Georgia.","Russia said that its forces completed their withdrawal from undisputed Georgian territory on
October 10, in accordance with an August 15 ceasefire agreement between Russia and
Georgia brokered by the French European Union presidency. The Georgian government
disputes this, pointing to Russian forces’ presence in Perevi, a village on the South Ossetian
administrative border, as well as Akhalgori.
5 Human Rights Watch January 2009"
4f91a1b4,12,Part 5: International Scrutiny of Rights Violations in the Conflict,,Indiscriminate and disproportionate use of force,"During the shelling of Tskhinvali and neighboring villages and the ground offensive that
followed, Georgian forces frequently failed to abide by the obligation to distinguish between
military targets that can be legitimately attacked, and civilians, who may not be targeted for
attack. This was compounded by Georgia’s failure to take all feasible measures to avoid or
minimize civilian casualties. While Human Rights Watch found no evidence that Georgian
forces sought to deliberately target civilians, from our research Human Rights Watch
concluded that Georgian forces demonstrated disregard for the protection of civilians during
the shelling campaign, resulting in large-scale damage to civilian objects and property, and
civilian casualties.
The sole fact of civilian casualties or destruction of civilian objects is not an indication that a
violation of international humanitarian law occurred. What is important to seek to determine
is whether there was evidence of a legitimate military target in the attack area at the time,
and how that target was attacked. Circumstances did not always allow such a determination.
Yet many of the attacks on South Ossetia during the brief conflict can be clearly attributed to
Georgian forces—based on witness accounts, the direction of the attack, and the timing of
the damage in light of the advance of Georgian forces.
In many cases Human Rights Watch researchers found no evidence of military objectives in
the area under attack, while in many others we found that Georgian attacks struck legitimate
military targets, causing combatant and, in some cases, collateral civilian casualties. In
some cases we investigated, evidence suggests that the Georgian attacks against lawful
military objectives may have been disproportionate, as the expected loss of civilian life or
destruction of civilian property would have have expected to exceed any anticipated military
gain.
The massive shelling of Tskhinvali and neighboring villages by Georgian forces was
indiscriminate because, at the very least, the Georgian military effectively treated a number
of clearly separated and distinct military objectives as a single military objective in an area
that contained a concentration of civilians and civilian objects. In a number of artillery
attacks Georgian forces failed to take all feasible precautions to minimize loss of life or
injury to civilians.
Georgia’s use of multiple rocket launching systems, such as BM-21s (“Grads”) in civilian
populated areas violated international humanitarian law’s principle of distinction. These"
4a486943,13,Part 5: International Scrutiny of Rights Violations in the Conflict,,Up in Flames 6,"weapons cannot be targeted with sufficient precision to be accurate against military targets,
and their broad area effect makes their use incompatible with the laws of war in areas where
civilians or civilian objects (such as schools or hospitals) are located. The use of such
weapons in populated areas is indiscriminate by nature and thus prohibited under
international humanitarian law.
Georgian forces attacked vehicles in which many Ossetian civilians were trying to flee the
conflict zone on August 8–10, which resulted in death and injuries. The cases Human Rights
Watch describes in this report indicate that—in those cases at least—disproportionate force
was used and precautions were not taken to avoid or minimize loss of civilian life."
dd03b92a,13,Part 5: International Scrutiny of Rights Violations in the Conflict,,Conduct of ground troops,"During Georgian forces’ ground offensive there were also attacks which, Human Rights
Watch’s investigation suggests, failed to respect the principle of proportionality: attacks
such as when Georgian tanks targeted buildings in which Ossetian fighters may at times
have been present, but where there were also many civilians sheltering in the basement.
Several Ossetian civilians reported looting by Georgian ground forces but otherwise
generally did not report other specific incidents of abusive treatment during the ground
offensive by Georgian troops. Those detained by Georgian forces, however, reported they
were ill-treated when taken into custody."
b0ec948e,13,Part 5: International Scrutiny of Rights Violations in the Conflict,,Indiscriminate and disproportionate use of force,"Russian forces attacked areas in undisputed Georgian territory and in South Ossetia with
aerial, artillery, and tank fire strikes, some of which were indiscriminate, killing and injuring
civilians. With regard to many aerial and artillery attacks Russian forces failed to observe
their obligations to do everything feasible to verify that the objects to be attacked were
military objectives (and not civilians or civilian objects) and to take all feasible precautions
to minimize harm to civilians. In one case, Russian forces attacked medical personnel, a
grave breach of the Geneva Conventions and a war crime.
As noted above, the mere fact of civilian casualties or destruction of civilian objects does not
mean that a humanitarian law violation occurred. In each attack examined, Human Rights
Watch sought to determine whether there was evidence of a legitimate military target in the
attack area, and if so how that target was attacked.
7 Human Rights Watch January 2009
Between August 8 and 12, Russian forces attacked Georgian military targets in Gori city and
in ethnic Georgian villages in both South Ossetia and undisputed Georgian territory, often
causing civilian casualties and damage to civilian objects such as houses or apartment
blocks. The proximity of these military targets to civilian objects varied. In several cases, the
military targets were within meters of civilians and civilian homes, and the attacks against
them resulted in significant civilian casualties.
In other cases the apparent military targets were located as far as a kilometer away from
civilian objects, and yet civilian casualties also resulted. In attacking any of these targets the
Russian forces had an obligation to strictly observe the principle of proportionality, and to
do everything feasible to assess whether the expected civilian damage from the attack
would likely be excessive in relation to the direct military advantage anticipated. In many
cases the attacks appear to have violated this proportionality principle. In yet other cases,
Human Rights Watch investigated—but was not able to identify—any legitimate military
targets in the immediate vicinity at the time of the attacks. The absence of a military target in
the vicinity of an attack raises the possibility that Russian forces either failed in their
obligation to do everything feasible to verify that the targets were military and not civilian,
that they were reckless toward the presence of civilians in their target zone, or that Russian
forces deliberately targeted civilian objects.
In several incidents involving military force against civilian vehicles, Russian forces may
have intentionally targeted civilians. Deliberate attacks on civilians amount to war crimes."
